"rules","support","confidence","coverage","lift","count"
"5959","{texture1=[9.71,17.2),area1=[144,462)} => {radius1=Bajo}",0.144112478031634,1,0.144112478031634,3.01058201058201,82
"5961","{area1=[144,462),symmetry2=[0.0214,0.079]} => {radius1=Bajo}",0.159929701230228,1,0.159929701230228,3.01058201058201,91
"5963","{area1=[144,462),fractal_dimension2=[0.00399,0.0298]} => {radius1=Bajo}",0.114235500878735,1,0.114235500878735,3.01058201058201,65
"5968","{area1=[144,462),symmetry2=[0.00788,0.0161)} => {radius1=Bajo}",0.0650263620386643,1,0.0650263620386643,3.01058201058201,37
"5970","{area1=[144,462),compactness2=[0.00225,0.0149)} => {radius1=Bajo}",0.142355008787346,1,0.142355008787346,3.01058201058201,81
"5976","{area1=[144,462),fractal_dimension3=[0.0871,0.207]} => {radius1=Bajo}",0.101933216168717,1,0.101933216168717,3.01058201058201,58
"5980","{area1=[144,462),smoothness3=[0.141,0.223]} => {radius1=Bajo}",0.101933216168717,1,0.101933216168717,3.01058201058201,58
"5982","{area1=[144,462),texture3=[12,22.5)} => {radius1=Bajo}",0.149384885764499,1,0.149384885764499,3.01058201058201,85
"5984","{texture1=[20.7,39.3],area1=[144,462)} => {radius1=Bajo}",0.0667838312829526,1,0.0667838312829526,3.01058201058201,38
"5991","{perimeter1=[43.8,78.6),concave_points2=[0.0133,0.0528]} => {radius1=Bajo}",0.0738137082601054,1,0.0738137082601054,3.01058201058201,42
